qid,question_text,mrr,precision_at_5,recall_at_5,ndcg,composite_score,1_scientific_consensus,2_inappropriate_content,3_missing_content,4_extent_harm,5_likelihood_harm,6_bias,7_empathy,8_grammaticality
0000203-1,What is (are) Kidney Stones in Adults ?,0.5,0.2,1.0,0.6309297535714575,8.571428571428571,1.0,0.0,-1.0,0.0,0.0,0.0,1.0,1.0
0000203-3,Who is at risk for Kidney Stones in Adults? ?,0.25,0.2,1.0,0.43067655807339306,6.428571428571429,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,1.0
0000203-4,What causes Kidney Stones in Adults ?,1.0,0.2,1.0,1.0,8.571428571428571,1.0,0.0,-1.0,0.0,0.0,0.0,1.0,1.0
0000203-7,What are the symptoms of Kidney Stones in Adults ?,1.0,0.2,1.0,1.0,6.428571428571429,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,1.0
0000203-8,How to diagnose Kidney Stones in Adults ?,0.3333333333333333,0.2,1.0,0.5,8.571428571428571,1.0,0.0,-1.0,0.0,0.0,0.0,1.0,1.0
0000203-9,What are the treatments for Kidney Stones in Adults ?,0.3333333333333333,0.2,1.0,0.5,10.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0
0000203-11,What to do for Kidney Stones in Adults ?,0.5,0.2,1.0,0.6309297535714575,7.857142857142857,1.0,0.0,-2.0,0.0,0.0,0.0,1.0,1.0
0000217-1,What is (are) Vesicoureteral Reflux ?,0.0,0.0,0.0,0.0,8.571428571428571,1.0,0.0,-1.0,0.0,0.0,0.0,1.0,1.0
0000217-2,Who is at risk for Vesicoureteral Reflux? ?,0.0,0.0,0.0,0.0,6.428571428571429,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,1.0
0000217-4,What are the symptoms of Vesicoureteral Reflux ?,0.0,0.0,0.0,0.0,6.428571428571429,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,1.0
0000217-5,What are the complications of Vesicoureteral Reflux ?,0.0,0.0,0.0,0.0,6.428571428571429,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,1.0
0000217-6,How to diagnose Vesicoureteral Reflux ?,0.0,0.0,0.0,0.0,6.428571428571429,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,1.0
0000217-8,What are the treatments for Vesicoureteral Reflux ?,0.0,0.0,0.0,0.0,6.428571428571429,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,1.0
0000217-10,What to do for Vesicoureteral Reflux ?,0.0,0.0,0.0,0.0,6.428571428571429,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,1.0
0000001-1,What is (are) Acromegaly ?,0.0,0.0,0.0,0.0,8.571428571428571,1.0,0.0,-1.0,0.0,0.0,0.0,1.0,1.0
0000001-2,What are the symptoms of Acromegaly ?,0.0,0.0,0.0,0.0,6.428571428571429,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,1.0
0000001-4,How many people are affected by Acromegaly ?,0.0,0.0,0.0,0.0,6.428571428571429,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,1.0
0000001-5,How to diagnose Acromegaly ?,0.0,0.0,0.0,0.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0
0000001-9,What to do for Acromegaly ?,0.25,0.2,1.0,0.43067655807339306,3.5714285714285716,0.0,0.0,-2.0,-2.0,-2.0,0.0,0.0,1.0
0000015-1,What is (are) Prolactinoma ?,0.0,0.0,0.0,0.0,8.571428571428571,1.0,0.0,-1.0,0.0,0.0,0.0,1.0,1.0
0000015-3,How many people are affected by Prolactinoma ?,0.0,0.0,0.0,0.0,6.428571428571429,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,1.0
0000015-4,What are the symptoms of Prolactinoma ?,0.0,0.0,0.0,0.0,8.571428571428571,1.0,0.0,-1.0,0.0,0.0,0.0,1.0,1.0
